model,position,rank_layers,n_auc_folds,mean_fold_auc,fold_auc_std,oof_auc,oof_accuracy,oof_balanced_accuracy,n_dev
M1,prompt_end_minus_05,34-39,4,0.5373971193415638,0.05817963368136635,0.5487303832424059,0.5028409090909091,0.5315888731730316,352
M2,prompt_end_minus_05,34-39,4,0.5138204966329967,0.19989861445445228,0.5752003771805753,0.6448863636363636,0.5969892907658113,352
M3,prompt_end_minus_05,34-39,4,0.5217388000374111,0.2006397431813016,0.5797804270222942,0.6221590909090909,0.5666801374014953,352
M4,prompt_end_minus_05,34-39,4,0.51008756546951,0.19934627937368496,0.5729103522597158,0.6392045454545454,0.593688960732808,352
M1,prompt_end_minus_04,34-39,4,0.4508306444070333,0.1580519794451668,0.45544554455445546,0.5511363636363636,0.4741025122920456,352
M2,prompt_end_minus_04,34-39,4,0.7026041666666667,0.08828630728731401,0.7544958577490403,0.7272727272727273,0.704721492557419,352
M3,prompt_end_minus_04,34-39,4,0.6947641928544706,0.10393800303646979,0.7379942075840238,0.7102272727272727,0.6862665858422576,352
M4,prompt_end_minus_04,34-39,4,0.6910721801346802,0.09421101506026079,0.7380615612581667,0.7130681818181818,0.6793628342426079,352
M1,prompt_end_minus_03,34-39,4,0.5706234801720913,0.16436299548471567,0.620798814575335,0.6505681818181818,0.6345052872634203,352
M2,prompt_end_minus_03,34-39,4,0.7013123129442574,0.07967134924789433,0.6793291574055363,0.7357954545454546,0.6241328214454098,352
M3,prompt_end_minus_03,34-39,4,0.6931847409277965,0.161163117596806,0.7029702970297029,0.7528409090909091,0.6853573112413283,352
M4,prompt_end_minus_03,34-39,4,0.6756552796483352,0.10412348516143638,0.6781167912709638,0.7357954545454546,0.6412406546777127,352
M1,prompt_end_minus_02,34-39,4,0.42089529554807337,0.08860216343157307,0.4525493365663097,0.5539772727272727,0.4757526773085472,352
M2,prompt_end_minus_02,34-39,4,0.7913632856341191,0.10886016904252582,0.7538896746817538,0.78125,0.727520711254799,352
M3,prompt_end_minus_02,34-39,4,0.7858387111859335,0.10467370750715721,0.7536202599851821,0.7727272727272727,0.722570216205294,352
M4,prompt_end_minus_02,34-39,4,0.7863618827160495,0.10590814072840397,0.7593453222873308,0.7755681818181818,0.7242203812217956,352
M1,prompt_end_minus_01,34-39,4,0.7603640572390572,0.13994134444355683,0.7150266047012865,0.6732954545454546,0.6733683572438877,352
M2,prompt_end_minus_01,34-39,4,0.8353143705574261,0.08103056010257467,0.8432006465952717,0.7670454545454546,0.7534855526368964,352
